,date,bodyfat
1,2018-01-21,19.7846
2,2018-01-31,19.69573
3,2018-02-07,19.00394
4,2018-02-14,18.39915
5,2018-03-01,18.35694
6,2018-03-15,18.50193
7,2018-04-12,18.18213
8,2018-04-20,16.95154
9,2018-04-27,17.14472
10,2018-05-10,16.52626
11,2018-05-17,15.60975
12,2018-05-31,15.02848
13,2018-06-08,14.78573
14,2018-06-22,15.71806
15,2018-06-29,14.74306
16,2018-07-12,13.90751
17,2018-07-19,13.16215
18,2018-08-01,13.51575
19,2018-08-09,13.04337
20,2018-08-16,12.89504
21,2018-08-23,12.7012
22,2018-08-30,13.06481
23,2018-09-13,12.52632
24,2018-09-13,12.07157
